DEGREE,SCORE_PA,PERCEPTION,PA1,R_PA1,PA2,R_PA2,PA3,R_PA3,PA4,R_PA4,PA5,R_PA5,PA6,R_PA6,PA7,R_PA7,PA8,R_PA8,PA9,R_PA9,PA10,R_PA10,SCORE_PB,VISUALIZATION,PB1,R_PB1,PB2,R_PB2,PB3,R_PB3,PB4,R_PB4,PB5,R_PB5,PB6,R_PB6,PB7,R_PB7,PB8,R_PB8,PB9,R_PB9,PB10,R_PB10
TE,7,6.86,A,Fallo,B,Acierto,A,Acierto,C,Fallo,A,Acierto,D,Acierto,B,Acierto,D,Fallo,A,Acierto,D,Acierto,8,Slides,C,Acierto,B,Acierto,A,Acierto,D,Acierto,A,Acierto,D,Acierto,A,Fallo,C,Acierto,A,Acierto,C,Fallo
AMSE,4,8.29,A,Fallo,C,Fallo,A,Acierto,C,Fallo,A,Acierto,D,Acierto,A,Fallo,C,Acierto,B,Fallo,B,Fallo,7,Slides,C,Acierto,B,Acierto,A,Acierto,D,Acierto,D,Fallo,D,Acierto,C,Fallo,C,Acierto,B,Fallo,D,Acierto
TE,2,5.43,,Fallo,A,Fallo,,Fallo,,Fallo,A,Acierto,D,Acierto,,Fallo,,Fallo,B,Fallo,,Fallo,2,Slides,C,Acierto,A,Fallo,,Fallo,,Fallo,,Fallo,D,Acierto,,Fallo,,Fallo,B,Fallo,,Fallo
TE,6,10,C,Acierto,C,Fallo,B,Fallo,D,Acierto,C,Fallo,D,Acierto,B,Acierto,C,Acierto,B,Fallo,D,Acierto,7,VR,C,Acierto,C,Fallo,B,Fallo,D,Acierto,C,Fallo,D,Acierto,B,Acierto,C,Acierto,A,Acierto,D,Acierto
AMSE,5,4.57,B,Fallo,A,Fallo,A,Acierto,D,Acierto,D,Fallo,D,Acierto,B,Acierto,A,Fallo,B,Fallo,D,Acierto,4,VR,A,Fallo,C,Fallo,B,Fallo,D,Acierto,A,Acierto,D,Acierto,A,Fallo,A,Fallo,B,Fallo,D,Acierto
TE,5,9.14,B,Fallo,A,Fallo,A,Acierto,,Fallo,B,Fallo,D,Acierto,B,Acierto,C,Acierto,A,Acierto,C,Fallo,9,VR,B,Fallo,B,Acierto,A,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Acierto,C,Acierto,A,Acierto,D,Acierto
AMSE,3,6,B,Fallo,A,Fallo,C,Fallo,D,Acierto,D,Fallo,D,Acierto,A,Fallo,A,Fallo,B,Fallo,D,Acierto,5,Slides,A,Fallo,B,Acierto,C,Fallo,D,Acierto,D,Fallo,D,Acierto,D,Fallo,C,Acierto,A,Acierto,B,Fallo
TE,2,6.57,A,Fallo,C,Fallo,A,Acierto,C,Fallo,C,Fallo,C,Fallo,A,Fallo,D,Fallo,A,Acierto,B,Fallo,4,VR,C,Acierto,C,Fallo,A,Acierto,C,Fallo,C,Fallo,B,Fallo,D,Fallo,C,Acierto,A,Acierto,B,Fallo
AMSE,6,8.29,C,Acierto,C,Fallo,A,Acierto,B,Fallo,D,Fallo,D,Acierto,B,Acierto,D,Fallo,A,Acierto,D,Acierto,4,Slides,B,Fallo,B,Acierto,A,Acierto,B,Fallo,C,Fallo,D,Acierto,B,Acierto,D,Fallo,B,Fallo,B,Fallo
TE,4,5.43,A,Fallo,C,Fallo,B,Fallo,B,Fallo,A,Acierto,D,Acierto,B,Acierto,,Fallo,,Fallo,D,Acierto,3,Slides,A,Fallo,C,Fallo,,Fallo,B,Fallo,D,Fallo,D,Acierto,A,Fallo,C,Acierto,,Fallo,D,Acierto
TE,4,6,C,Acierto,C,Fallo,,Fallo,C,Fallo,D,Fallo,D,Acierto,B,Acierto,C,Acierto,B,Fallo,B,Fallo,5,Slides,,Fallo,B,Acierto,A,Acierto,D,Acierto,A,Acierto,C,Fallo,A,Fallo,C,Acierto,B,Fallo,B,Fallo
